"REGIAO";"ANO";"MEDIA_RENDA";"MEDIANA_RENDA";"DESVIO_RENDA";"MEDIA_NOTA_CN";"MEDIA_NOTA_CH";"MEDIA_NOTA_LC";"MEDIA_NOTA_MT";"MEDIA_NOTA_REDACAO";"MEDIA_MEDIA_SIMPLES";"MEDIANA_NOTA_CN";"MEDIANA_NOTA_CH";"MEDIANA_NOTA_LC";"MEDIANA_NOTA_MT";"MEDIANA_NOTA_REDACAO";"MEDIANA_MEDIA_SIMPLES";"DESVIO_NOTA_CN";"DESVIO_NOTA_CH";"DESVIO_NOTA_LC";"DESVIO_NOTA_MT";"DESVIO_NOTA_REDACAO";"DESVIO_MEDIA_SIMPLES"
"Centro-Oeste";2020;0,727006161533934;0,416666666666667;1,15847613967003;492,024785286316;511,544926410945;525,174265302316;518,685659630117;567,85201507784;526,334299557871;485,4;513;530,7;502,8;560;515,46;80,1978872302979;96,4018234972026;73,3706846568214;117,02352840087;200,385126895783;91,7125075993943
"Nordeste";2020;0,417175230866978;0,166666666666667;0,774342203422392;476,838474138693;493,4484361483;509,156843287175;499,790266924207;562,75199939264;510,877325537593;466,7;488,6;513,9;478,6;560;499,26;76,947683072039;94,5134354018166;75,3824204393191;111,808211037087;203,521180077121;89,5209432193565
"Norte";2020;0,39502201786559;0,208333333333333;0,698776612085737;468,066534318034;484,407723345675;497,069014525776;479,958398749928;536,977056235957;495,916205330728;459,6;480,1;501,1;460,3;540;485,98;71,6595113167636;89,2057772679049;72,9711436427982;98,0234785166063;195,27699482596;81,3059837293841
"Sudeste";2020;0,804626273828087;0,45;1,14188156531203;508,435706133829;533,379628127024;543,741576201351;550,696433898321;597,567066480828;549,652221277071;507,9;538,2;550,4;546,7;600;543,64;81,4975207730764;95,5467798430383;69,9940389546388;121,057237407187;197,521499372174;91,641755328787
"Sul";2020;0,872605287893896;0,583333333333333;1,12656363658223;503,802131725261;530,839081527312;539,358046562374;543,588815516285;577,968394485435;541,982719640744;502,1;536,4;544,5;539,9;580;534,68;79,1407938667881;91,5055593090113;67,6412217978251;114,862371233658;188,958836653333;86,106372717253
