"";"SG_UF_PROVA";"RAZAO"
"1";"AC";537,471866151232
"2";"AL";594,760158294048
"3";"AM";638,849105384373
"4";"AP";563,784739008098
"5";"BA";622,255259200083
"6";"CE";669,489577677999
"7";"DF";246,834646923118
"8";"ES";358,778860283726
"9";"GO";383,678857526486
"10";"MA";739,471916917715
"11";"MG";372,628208245504
"12";"MS";328,43144748699
"13";"MT";301,47422047537
"14";"PA";654,150772713541
"15";"PB";620,317956086535
"16";"PE";585,177149886228
"17";"PI";716,304972376579
"18";"PR";296,590686999916
"19";"RJ";342,797093420999
"20";"RN";519,324554534497
"21";"RO";405,61263940785
"22";"RR";399,897150492354
"23";"RS";331,696073707332
"24";"SC";265,04701555103
"25";"SE";579,727247211665
"26";"SP";287,187089156357
"27";"TO";407,151715990124
