"REGIAO";"ANO";"MEDIA_RENDA";"MEDIANA_RENDA";"DESVIO_RENDA";"MEDIA_NOTA_CN";"MEDIA_NOTA_CH";"MEDIA_NOTA_LC";"MEDIA_NOTA_MT";"MEDIA_NOTA_REDACAO";"MEDIA_MEDIA_SIMPLES";"MEDIANA_NOTA_CN";"MEDIANA_NOTA_CH";"MEDIANA_NOTA_LC";"MEDIANA_NOTA_MT";"MEDIANA_NOTA_REDACAO";"MEDIANA_MEDIA_SIMPLES";"DESVIO_NOTA_CN";"DESVIO_NOTA_CH";"DESVIO_NOTA_LC";"DESVIO_NOTA_MT";"DESVIO_NOTA_REDACAO";"DESVIO_MEDIA_SIMPLES"
"Centro-Oeste";2018;0,867983133619871;0,45;1,28027782351674;494,648920351108;565,322181106741;525,429667488653;531,236528823425;501,858814418433;526,794103062164;484,2;578,5;529,6;511,9;500;516,42;74,9405946028275;82,959334841163;74,334313806505;102,644512537375;190,467252687259;83,8819739027423
"Nordeste";2018;0,487466638373905;0,25;0,839490258522751;480,88037541913;554,262134306456;512,242688285015;520,088175584133;494,420732802792;514,466282389282;469,1;563,3;513,5;501,1;500;504,24;70,0005638547537;81,2816223161677;72,8108286656092;97,6846075950572;189,55745170738;80,2887949781695
"Norte";2018;0,481303605516731;0,25;0,791183759998257;473,788830027104;545,705455900276;503,682211731685;505,1887977164;472,908937257364;502,676022713758;463;553;504,3;490,5;480;493,2;65,0096077468616;80,5943021662151;71,5117308990171;86,1209219443495;180,538065684037;73,217940299708
"Sudeste";2018;0,90577720569196;0,5625;1,19798985891632;508,291890073594;583,718323577657;542,624460096742;556,164136106374;532,451683928075;547,287444782318;500,8;599,7;550,2;539,5;540;540,78;76,9189871327394;79,0434207356726;71,227478619066;108,202821171782;187,18401636386;83,8729209987751
"Sul";2018;0,988786568545018;0,625;1,20099006990968;504,445557712479;583,734113036678;540,471956598311;547,882966761751;515,230244721551;541,115637549747;497,5;599,8;546,9;532,6;520;534,92;73,8421262973795;75,8120364463826;69,1805791085011;102,924533426801;176,112839849201;78,1345653579783
