"REGIAO";"ANO";"MEDIA_RENDA";"MEDIANA_RENDA";"DESVIO_RENDA";"MEDIA_NOTA_CN";"MEDIA_NOTA_CH";"MEDIA_NOTA_LC";"MEDIA_NOTA_MT";"MEDIA_NOTA_REDACAO";"MEDIA_MEDIA_SIMPLES";"MEDIANA_NOTA_CN";"MEDIANA_NOTA_CH";"MEDIANA_NOTA_LC";"MEDIANA_NOTA_MT";"MEDIANA_NOTA_REDACAO";"MEDIANA_MEDIA_SIMPLES";"DESVIO_NOTA_CN";"DESVIO_NOTA_CH";"DESVIO_NOTA_LC";"DESVIO_NOTA_MT";"DESVIO_NOTA_REDACAO";"DESVIO_MEDIA_SIMPLES"
"Centro-Oeste";2021;0,952110258084238;0,5;1,36271710540447;491,697804101654;518,838987411244;502,08691190811;532,406695193863;608,649146620539;534,089676462107;481;519,6;504,3;511,7;600;524,08;81,5422566748476;95,7354423030624;78,7593767506007;110,118670188771;190,534900589039;89,7415580598901
"Nordeste";2021;0,520750385863996;0,25;0,914569642634918;478,223079047152;503,56368306208;487,349611423562;516,559679789941;603,862092687454;520,538634696479;467,7;498,2;488,1;492,5;600;510,6;76,9374941585344;94,5072052822344;78,6675955850087;105,333550020622;199,271375366736;88,0963153974513
"Norte";2021;0,511640490387644;0,25;0,869090132073186;468,764340535063;493,028648807258;474,180422059383;495,280754150651;577,31220657277;505,150863350731;459,6;486,3;473,6;473,3;580;495,42;71,063729500611;89,6857615561756;76,5729043214446;93,2949711447554;195,40683845823;81,3868432915083
"Sudeste";2021;1,04229892524826;0,583333333333333;1,33590444657901;508,576989752548;540,455539795693;522,710864750986;561,560776411681;635,676563533476;556,711634009701;501,8;547,7;527,7;553,1;620;551,3;82,7274475877023;94,4416660849014;75,3142508377121;113,765125859483;181,530320681286;87,5190772579225
"Sul";2021;1,12707978318228;0,6875;1,3411106802482;504,682681497713;534,775446799474;515,700386723247;551,519711874365;613,804231601772;547,411771770577;498,4;542,1;520;539,8;600;540,48;79,5724721235584;93,658095122592;76,5620543125706;109,925906392862;177,977851443458;84,7706492378889
