"REGIAO";"ANO";"MEDIA_RENDA";"MEDIANA_RENDA";"DESVIO_RENDA";"MEDIA_NOTA_CN";"MEDIA_NOTA_CH";"MEDIA_NOTA_LC";"MEDIA_NOTA_MT";"MEDIA_NOTA_REDACAO";"MEDIA_MEDIA_SIMPLES";"MEDIANA_NOTA_CN";"MEDIANA_NOTA_CH";"MEDIANA_NOTA_LC";"MEDIANA_NOTA_MT";"MEDIANA_NOTA_REDACAO";"MEDIANA_MEDIA_SIMPLES";"DESVIO_NOTA_CN";"DESVIO_NOTA_CH";"DESVIO_NOTA_LC";"DESVIO_NOTA_MT";"DESVIO_NOTA_REDACAO";"DESVIO_MEDIA_SIMPLES"
"Centro-Oeste";2019;0,898504089338815;0,45;1,33798899306838;478,511563773841;506,239160516892;520,357875758991;521,047669671006;565,338253152732;521,567832779907;470,1;509,3;525,4;498,9;580;512,84;77,0518202420118;82,985139156734;64,1996884629389;108,705953034917;192,621018963796;84,7516223908506
"Nordeste";2019;0,482457856405251;0,25;0,859095808186217;464,931243361545;492,869930603402;508,208056456414;506,175240897473;561,188490747236;508,884503650609;454,7;492,3;512,9;482,3;580;500,5;72,9267693788747;81,3868313258214;65,1388093450634;102,799215151467;194,208003271475;82,2307944579129
"Norte";2019;0,474908031772175;0,25;0,815272369821131;455,742919950444;484,326195836115;499,288495975621;485,385466811638;538,381243665124;495,449559050145;446,3;483,5;504,2;464,2;560;488,3;67,5803407844206;77,312936064567;63,7384417741931;89,7830322186304;188,532166777699;74,9919263050703
"Sudeste";2019;0,937763042410201;0,5625;1,26523076771043;494,194082065917;524,325436261742;535,839042752957;547,334588413632;592,345760282465;541,610453931309;492,2;530,6;541,7;533;600;536,02;77,527807011674;81,4812825205891;60,2630936921053;114,211387492613;184,089742369425;83,9270425737416
"Sul";2019;1,02634999002241;0,625;1,28099718871936;490,20068867608;523,970855013734;533,716997272622;542,227660359826;574,430829045611;536,015265794644;487,8;530,9;539,4;529,5;580;530,78;75,7044941816106;78,5015764446549;58,3396118279801;109,21123490856;174,473778573426;78,5465077098378
