"SG_UF_PROVA";"POR_FEM";"POR_MAS";"POR_SI";"POR_BR";"POR_PT";"POR_PD";"POR_AM";"POR_IN";"RENDA_MEDIA";"MEDIA_CN";"MEDIA_CH";"MEDIA_LC";"MEDIA_MT";"MEDIA_REDACAO";"MEDIA_GERAL"
"AC";60,7481255664497;39,2518744335503;1,54898245035841;21,3561835708989;11,3331136195106;61,6709236219824;2,9372991678339;1,15349756941584;0,528153927968612;475,966230661975;505,277599801329;503,769940513075;494,176095908608;605,260096930533;515,186663786186
"AL";60,9400676655389;39,0599323344611;1,395601739971;26,5103914934751;12,3948767520541;56,1998550024166;2,65828902851619;0,840985983566941;0,472672197560542;482,870871806079;504,737621889857;500,136541460203;510,874088913982;631,071513597656;523,125697641669
"AM";58,7993456455293;41,2006543544707;1,66602092212321;17,8968100219553;5,86658917732145;69,1743079770976;1,48628869086056;3,90998321064187;0,422388118577554;472,701888692507;495,972090741168;495,072596744472;486,20105853819;580,811335564093;502,712708298076
"AP";58,9891345853438;41,0108654146562;1,20109695560107;21,4635331690214;13,9722983996945;61,2976012774673;1,30176693164856;0,763703266567154;0,491180323418802;476,134725359484;502,277263385058;496,965711502973;484,20173031355;606,5380633208;510,790420132333
"BA";65,0566815103556;34,9433184896444;1,33377329862953;19,8764602119235;28,2127746185254;48,1752747727189;1,69952014999938;0,702196948203338;0,489894857110715;486,143399792806;511,932301556581;505,469310238465;508,753175082813;630,652824752882;526,704808241481
"CE";56,0923293106299;43,9076706893701;2,14828897338403;28,2666556455613;7,79054389155232;59,9867746734998;1,27541742436766;0,532319391634981;0,445040610473804;485,321934007028;510,133547836401;507,402151930979;525,97443735729;654,408801114966;532,861103683375
"DF";60,5590955806783;39,4409044193217;1,60465912983899;40,0465912983899;13,8759849263446;42,4652278177458;1,68550873586845;0,322028091812264;1,24720085645708;517,654428890484;543,736811042181;537,209207454819;558,989579054418;652,311403338132;559,859352931998
"ES";61,260919103684;38,739080896316;0,915577016982258;40,0751451359123;15,4183169659812;42,0907709836688;1,05121805653519;0,448971840920189;0,85479057009245;512,148040511684;536,968802549238;527,74579611241;559,473254962577;664,688317132079;557,761499023965
"GO";60,0362148749246;39,9637851250754;1,87110187110187;37,5320233384749;11,7148413922607;45,7413989672054;2,64972168197975;0,490912748977265;0,787755386198516;499,88519327137;521,320335753442;515,848463910684;536,143418590143;656,758582907232;543,49722912417
"MA";62,2426940804556;37,7573059195444;1,01534786071092;20,6267043123628;14,5032457346944;62,008011776346;1,38637515384059;0,460315162045416;0,37783797235943;468,927447824502;492,354654402859;488,313113866662;485,231490538522;617,411553319558;507,902700710676
