"";"SG_UF_PROVA";"RAZAO"
"1";"AC";499,980497734515
"2";"AL";575,46371258028
"3";"AM";595,643431319391
"4";"AP";528,666169534089
"5";"BA";562,538684049095
"6";"CE";633,068302201511
"7";"DF";247,545815362117
"8";"ES";358,732898738928
"9";"GO";371,152307234736
"10";"MA";679,610625441329
"11";"MG";357,726708376042
"12";"MS";314,740938633753
"13";"MT";287,868786117161
"14";"PA";619,169276142061
"15";"PB";602,365970507268
"16";"PE";556,997449045923
"17";"PI";656,663709293491
"18";"PR";286,478720400622
"19";"RJ";338,742087858518
"20";"RN";494,160601811622
"21";"RO";392,129006912484
"22";"RR";354,36631430729
"23";"RS";296,250511105177
"24";"SC";259,732255637705
"25";"SE";551,183869839833
"26";"SP";284,04342604773
"27";"TO";390,379972946337
