"";"SG_UF_PROVA";"COEFICIENTE"
"1";"AC";67,2447739294327
"2";"AL";100,706869648707
"3";"AM";184,733532486021
"4";"AP";157,081160495581
"5";"BA";103,563599856902
"6";"CE";119,05403437398
"7";"DF";NA
"8";"ES";67,6188382743046
"9";"GO";92,7450193684001
"10";"MA";159,850194500456
"11";"MG";86,2369131852929
"12";"MS";82,7202890588734
"13";"MT";75,5480744868036
"14";"PA";95,2448885507008
"15";"PB";87,210074775327
"16";"PE";76,2993434350461
"17";"PI";136,720189873918
"18";"PR";72,0893716892483
"19";"RJ";69,2768735862762
"20";"RN";103,681014898506
"21";"RO";75,7162342688843
"22";"RR";117,632384760006
"23";"RS";80,3027865393469
"24";"SC";48,2156524644326
"25";"SE";124,956260335492
"26";"SP";59,0137338732137
"27";"TO";105,41577938247
