"CO_MUNICIPIO_PROVA";"SG_UF_PROVA";"POR_FEM";"POR_MAS";"POR_SI";"POR_BR";"POR_PT";"POR_PD";"POR_AM";"POR_IN";"RENDA_MEDIA";"MEDIA_CN";"MEDIA_CH";"MEDIA_LC";"MEDIA_MT";"MEDIA_REDACAO";"MEDIA_GERAL"
1400472;"RR";66,3299663299663;33,6700336700337;0,673400673400673;19,1919191919192;12,1212121212121;65,3198653198653;1,34680134680135;1,34680134680135;0,481049977893412;471,605617977528;501,259585492228;492,942487046632;476,926404494382;590,989010989011;505,226017094017
1400506;"RR";65,3333333333333;34,6666666666667;0,666666666666667;18;9,33333333333333;70;0;2;0,428444444444444;455,246052631579;477,359756097561;481,923170731707;469,319736842105;591,282051282051;491,349379844961
1500107;"PA";63,4995144059566;36,5004855940434;1,40822272580123;20,055033991583;11,6056976367757;65,846552282292;0,841696341858207;0,242797021689867;0,267399942905532;468,79845164364;487,357172131148;481,673914032295;475,045450214388;619,612684580005;503,707881739918
1500206;"PA";65,6862745098039;34,3137254901961;1,7156862745098;14,5833333333333;17,156862745098;63,7254901960784;1,7156862745098;1,10294117647059;0,246685303394862;458,146354166667;476,543238731219;468,8449081803;452,711111111111;583,899821109123;485,698857615894
1500404;"PA";64,5238095238095;35,4761904761905;1,42857142857143;16,9047619047619;9,84126984126984;68,968253968254;1,9047619047619;0,952380952380952;0,216213244978126;454,371378091873;467,221075740944;461,634210526316;449,722379269729;573,820359281437;477,771805856833
1500503;"PA";62,7986348122867;37,2013651877133;3,07167235494881;14,3344709897611;9,89761092150171;68,6006825938567;2,73037542662116;1,36518771331058;0,252362053001985;462,870303030303;466,752849740933;463,670984455959;453,32303030303;569,720670391062;480,456666666667
1500602;"PA";62,954369682908;37,045630317092;1,46945088940449;21,38437741686;14,4238205723125;58,7780355761794;2,4168600154679;1,52745552977572;0,471691319711911;471,657993450432;494,938082039911;488,684264380531;488,823578445966;601,868613138686;506,813994490358
1500701;"PA";59,079283887468;40,920716112532;0,767263427109974;12,7877237851662;10,997442455243;72,3785166240409;1,79028132992327;1,27877237851662;0,183558433254725;445,645226130653;458,128181818182;454,790454545455;441,381407035176;519,142857142857;463,752383107089
1500800;"PA";62,3302396308531;37,6697603691469;1,5049027318966;23,2237428556447;13,8115463268838;59,6455351056578;1,45771066016465;0,356562319752504;0,435612441187872;482,882453296279;510,376116348754;503,290391770628;498,016885423101;627,143518518518;522,093702707288
1500909;"PA";65,6998738965952;34,3001261034048;3,15258511979823;9,70996216897856;4,2875157629256;81,8411097099622;0,630517023959647;0,378310214375788;0,187789987789988;454,173489278752;474,06573556797;467,33426443203;451,908771929825;585,196850393701;485,561338899196
1500958;"PA";59,0769230769231;40,9230769230769;0,923076923076923;12;11,3846153846154;72;3,07692307692308;0,615384615384615;0,291988705738706;455,875688073394;476,151709401709;470,268376068376;465,005963302752;615,433789954338;493,654772079772
1501204;"PA";62,2619047619048;37,7380952380952;1,54761904761905;12,1428571428571;22,7380952380952;61,5476190476191;1,78571428571429;0,238095238095238;0,193549515134337;451,287289719626;462,446913580247;457,61164021164;449,51476635514;582,059925093633;478,24423415493
1501303;"PA";65,4496883348175;34,5503116651825;1,33570792520036;16,2956366874443;10,7153457999406;69,0115761353517;2,25586227367171;0,385871178391214;0,411849326920565;471,394817214253;498,315727391874;491,440829694323;477,686487737159;602,159926470588;506,369255952381
1501402;"PA";60,1257225890009;39,8742774109991;1,40253340493414;26,1853618473008;14,9382443061566;55,673310800139;1,47044887386676;0,330100767602742;0,560668408216044;491,408932029773;518,41147097318;509,761747121346;512,19214597382;648,298770673447;533,571914956982
1501501;"PA";62,3326133909287;37,6673866090713;2,11663066954644;19,1360691144708;12,267818574514;64,4492440604752;1,55507559395248;0,475161987041037;0,30975509102129;474,450440806045;501,53239012643;492,772667068031;484,819080604534;606,971428571429;510,036605751947
1501709;"PA";62,2118685630211;37,7881314369789;2,7709661598823;12,2363903874448;5,93428151054438;77,8813143697891;0,882785679254536;0,294261893084846;0,309189708767474;466,93621399177;488,895104647038;480,175319148936;472,024092779648;607,75234521576;501,068099693974
1501782;"PA";67,6335877862595;32,3664122137405;1,52671755725191;18,9312977099237;16,6412213740458;61,5267175572519;1,22137404580153;0,152671755725191;0,279973232873996;458,024197530864;475,349545454545;474,145454545455;461,545679012346;560,815347721822;483,362768999248
