"code_muni";"RENDA_MEDIA";"NOTA_MEDIA";"RAZAO_MEDIA";"Nome_Município";"ANO"
1303106;0,0236030626242266;465,254460431655;9072,31675146525;"Nova Olinda do Norte";2024
1303205;0,0338420602751813;483,801550387597;6875,51373928136;"Novo Airão";2024
1303304;0,0381641664837498;439,71320754717;4941,63045922862;"Novo Aripuanã";2024
1303403;0,0244833314789351;476,492394253791;9205,1359288133;"Parintins";2024
1303502;0,0153998062448767;467,406964285714;14044,7847749819;"Pauini";2024
1303536;0,0391867778523727;489,693865030675;6088,12150693909;"Presidente Figueiredo";2024
1303569;0,0401668570257131;478,898571428571;5670,80892793671;"Rio Preto da Eva";2024
1303601;0,0503276523907592;444,390967741935;3840,25398684049;"Santa Isabel do Rio Negro";2024
1303700;0,020115617000322;447,357244094488;9755,46731136048;"Santo Antônio do Içá";2024
1303809;0,0322251752100073;481,547689243028;7150,54884081655;"São Gabriel da Cachoeira";2024
1303908;0,0193719368565994;462,812260536398;10927,7798138332;"São Paulo de Olivença";2024
1304005;0,0205375089506072;453,268;9842,86850397324;"Silves";2024
1304062;0,0214399333986516;459,308522920204;9710,31574814951;"Tabatinga";2024
1304104;0,0300146001796945;488,991260504202;7925,18504594729;"Tapauá";2024
1304203;0,0268407005148268;483,163699582754;8645,21771533395;"Tefé";2024
1304237;0,0168686098401401;428,961832061069;10542,7675277592;"Tonantins";2024
1304260;0,0407476620195918;444,259032258065;4739,88009827905;"Uarini";2024
1304302;0,0238237510766581;458,420233918129;8701,41033840958;"Urucará";2024
1304401;0,0291529503539307;449,185714285714;6794,01953768322;"Urucurituba";2024
1400050;0,026609492481203;480,477;8619,36769977925;"Alto Alegre";2024
1400100;NA;523,764141063318;NA;"Boa Vista";2024
1400159;0,0432783882783883;469,912941176471;5055,4780314157;"Bonfim";2024
1400209;0,0298241028882622;478,68672;7630,29556505329;"Caracaraí";2024
1400308;0,0207156308851224;475,438439716312;10828,4628626692;"Mucajaí";2024
1400472;0,0333707802369774;499,5549;7444,68358952887;"Rorainópolis";2024
1400506;0,0240257427757428;471,765694444444;9183,72;"São João da Baliza";2024
1500107;0,0258885443797266;494,015341513292;9382,34834491136;"Abaetetuba";2024
1500206;0,030850384123905;473,684592790387;7214,32160768232;"Acará";2024
1500404;0,0270744502797794;463,604982578397;7848,17347656701;"Alenquer";2024
1500503;0,0266316467897496;467,087272727273;8109,42238879489;"Almeirim";2024
1500602;0,0505085029987374;500,40131036283;4935,43256209873;"Altamira";2024
1500701;0,0334505632180051;450,849272237197;5970,87920270624;"Anajás";2024
1500800;0,042376047540136;520,27339314502;6351,54547837653;"Ananindeua";2024
1500909;0,0306653649113967;475,60371875;7320,4320052481;"Augusto Corrêa";2024
1500958;0,0363247155010496;484,845945945946;6434,35035132464;"Aurora do Pará";2024
1501204;0,0260897213550699;473,278831908832;8515,18607214486;"Baião";2024
1501303;0,0389323031640912;506,962491322792;6571,4707461429;"Barcarena";2024
1501402;0,0436235991507886;530,407673287836;6402,21528541133;"Belém";2024
1501501;0,0401156338091061;501,858056179775;6250,38251602693;"Benevides";2024
1501709;0,0297313992320381;491,464524749469;8083,86187524189;"Bragança";2024
1501782;0,0391287735253252;480,417769652651;5860,08067705579;"Breu Branco";2024
1501808;0,0320895585131621;474,568414985591;6963,27482641868;"Breves";2024
1501907;0,029804361716438;457,981589205397;6940,64819013745;"Bujaru";2024
1502103;0,0245105662207081;490,336870723137;9759,74477982604;"Cametá";2024
1502152;0,0478867546373804;525,583130929791;5731,5041081432;"Canaã dos Carajás";2024
1502202;0,0357190776039413;490,832990112513;6711,06328025846;"Capanema";2024
1502301;0,0277902571284924;487,678204804045;8512,27117871861;"Capitão Poço";2024
1502400;0,0375680768784217;525,889213528932;7313,9014919008;"Castanhal";2024
1502707;0,0395069227947919;497,599611992945;6238,89674407743;"Conceição do Araguaia";2024
1502756;0,0280444925444925;481,040674955595;8198,42521988323;"Concórdia do Pará";2024
