"CO_MUNICIPIO_PROVA";"SG_UF_PROVA";"MEDIA_CN";"MEDIA_CH";"MEDIA_LC";"MEDIA_MT";"MEDIA_REDACAO";"MEDIA_GERAL"
1301506;"AM";432,309302325581;436,497512437811;465,601477832512;447,965697674419;633,333333333333;476,852910569106
1301605;"AM";438,95990990991;433,256779661017;455,908474576271;438,828828828829;544,509803921569;458,139683195592
1301704;"AM";452,836809045226;453,711888111888;477,092325581395;459,062185929648;561,10824742268;477,8044354215
1301803;"AM";448,245454545455;424,520192307692;458,019230769231;455,763636363636;525,376344086022;459,076523809524
1301852;"AM";448,841722972973;448,631259484067;473,793957703928;453,034966216216;544,70796460177;469,856591928251
1301902;"AM";458,613315579228;465,243448275862;484,761538461538;470,719107856192;568,893442622951;486,697899979462
1301951;"AM";438,696899224806;414,767883211679;442,167883211679;449,517054263566;519,405940594059;445,698473193473
1302108;"AM";422,316438356164;388,846363636364;409,233333333333;430,883561643836;469,268292682927;407,750223214286
1302306;"AM";443,223076923077;438,449720670391;458,553631284916;444,046153846154;498,503401360544;451,131780701754
1302405;"AM";448,635987261147;446,492394366197;476,074860335196;456,645859872611;572,523961661342;475,994727608495
1302504;"AM";457,958003597122;462,946303211352;484,00837037037;460,309712230216;566,976351351351;482,450674981658
1302553;"AM";450,340740740741;450,172661870504;476,041134751773;449,67962962963;558,852459016393;472,259305555556
1302603;"AM";483,372704773129;499,720132984521;515,335097356684;498,615735038454;612,783203696123;519,018094724544
1302702;"AM";448,050841750842;447,348214285714;474,785163204748;460,070707070707;582,896551724138;477,993280346821
1302801;"AM";438,183333333333;434,195744680851;447,80206185567;434,4;489,62962962963;443,881386138614
1302900;"AM";450,487453183521;455,072849915683;474,910756302521;449,847191011236;548,851851851852;472,95377017251
1303007;"AM";446,579966329966;444,708503937008;464,688818897638;453,859259259259;578,898450946644;474,763071278826
1303106;"AM";444,8125;447,785846153846;469,349846153846;442,670486111111;546,829268292683;466,247432835821
1303205;"AM";456,025;449,744444444444;477,828758169935;450,566666666667;615,942028985507;484,68296178344
1303304;"AM";437,987671232877;433,557627118644;450,102966101695;443,410502283105;506,534653465347;450,803387755102
1303403;"AM";455,511054086064;464,523389458272;480,054877603215;459,662717219589;557,363164202956;480,646211464355
1303502;"AM";441,759292035398;449,897520661157;475,315447154472;452,546902654867;563,272727272727;474,414422043011
1303536;"AM";464,691212121212;465,475;491,016976127321;463,970606060606;602,779456193353;493,217502187227
1303569;"AM";460,224579124579;466,538819875776;485,872445820433;457,796296296296;567,576791808874;485,088578732106
1303601;"AM";448,089583333333;436,61320754717;451,672897196262;430,919791666667;500,212765957447;449,929484848485
1303700;"AM";434,347985347985;433,441877256318;448,351079136691;440,978754578755;535;454,991936026936
1303809;"AM";452,242940038685;470,786751361162;487,441197822142;453,073114119923;561,804222648752;483,02648409894
1303908;"AM";438,747583643123;440,191544117647;456,470955882353;441,150185873606;558,918918918919;465,32775
1304005;"AM";442,985067873303;439,010526315789;465,380786026201;457,309954751131;541,256544502618;464,961503546099
1304062;"AM";443,847318611987;451,436279069767;464,984024577573;454,868404423381;552,228360957643;465,96339559387
1304104;"AM";446,054621848739;456,137588652482;483,817021276596;467,536134453782;613,650793650794;489,548439716312
1304203;"AM";454,954211956522;465,616856780735;484,358867924528;461,652445652174;570,054200542005;484,535808702791
1304237;"AM";426,557342657343;417,85033557047;443,534899328859;430,496503496504;507,36;442,010393374741
1304260;"AM";433,501538461538;438,120895522388;458,094202898551;441,24;506;450,457615740741
1304302;"AM";443,74115942029;434,478729281768;463,79173553719;453,511014492754;571,270358306189;468,440856102004
1304401;"AM";438,126262626263;442,204784688995;464,277033492823;447,415656565657;524,916201117318;460,542622432859
1400050;"RR";461,387654320988;473,5;491,464835164835;465,417283950617;567,073170731707;490,814583333333
1400100;"RR";493,552919320594;504,211983267717;516,544129206583;506,92272968667;626,038039110635;525,48612690087
1400159;"RR";456,382608695652;460,692405063291;472,020253164557;450,779710144928;550,882352941176;473,096916666667
1400209;"RR";460,303937007874;451,166891891892;473,318243243243;456,79842519685;560,147058823529;477,239311111111
1400308;"RR";450,543055555556;462,657516339869;484,182467532468;466,354861111111;576,030534351145;483,526549893843
1400472;"RR";473,425242718447;479,329203539823;498,128761061947;482,879126213592;605,658536585366;504,862339055794
1400506;"RR";459,455555555556;456,794409937888;486,490062111801;454,270138888889;578,814814814815;483,789637681159
1500107;"PA";461,318153971819;465,201314240879;482,471322233105;472,991300796406;627,969381246013;498,809572248305
1500206;"PA";450,109840425532;456,191912708601;469,015256410256;455,223005319149;574,888888888889;478,786492124308
1500404;"PA";440,814248704663;443,350530612245;461,967699836868;450,254663212435;577,092916283349;470,85460253301
