"";"SG_UF_PROVA";"COEFICIENTE"
"1";"AC";66,0852487422598
"2";"AL";85,7719646025903
"3";"AM";140,777627342532
"4";"AP";144,571287590927
"5";"BA";89,0159756560236
"6";"CE";119,953072217965
"7";"DF";NA
"8";"ES";64,4382846161299
"9";"GO";80,79004841212
"10";"MA";126,30107018062
"11";"MG";78,702253126915
"12";"MS";84,3504794839294
"13";"MT";71,5898554865342
"14";"PA";76,7443960117228
"15";"PB";76,03761670541
"16";"PE";44,6725164981147
"17";"PI";125,032982079338
"18";"PR";64,8969016170384
"19";"RJ";62,5662381674467
"20";"RN";88,2301449862463
"21";"RO";88,8723709337675
"22";"RR";96,3810939519498
"23";"RS";74,7985377937969
"24";"SC";47,2832188957363
"25";"SE";110,094713547039
"26";"SP";53,6575217091048
"27";"TO";96,1877705990446
