"SG_UF_PROVA";"POR_FEM";"POR_MAS";"POR_SI";"POR_BR";"POR_PT";"POR_PD";"POR_AM";"POR_IN";"RENDA_MEDIA";"MEDIA_CN";"MEDIA_CH";"MEDIA_LC";"MEDIA_MT";"MEDIA_REDACAO";"MEDIA_GERAL"
"AC";59,9707977523118;40,0292022476882;1,97336401044202;21,0875624972346;10,6145745763462;61,9884075925844;3,52196805451086;0,814123268881908;0,525009392416255;476,673374267374;506,043737807257;497,285103206543;504,107054636801;616,146889558783;517,813829250953
"AL";60,7318789584799;39,2681210415201;2,22534991007897;27,5752599890531;11,2268355618109;55,2459144577371;2,99788881069669;0,728751270623192;0,533827292484928;485,368804684809;512,741990756889;501,700219928578;524,096855981444;643,407359377533;530,703048343681
"AM";58,0581828958092;41,9418171041908;2,14481515323636;17,7771466673252;5,28856839453733;69,415701479268;1,71634603511718;3,65742227051589;0,440694129364452;473,795594957417;498,377676701571;488,328905875691;496,002090801915;590,996869099687;506,191769935403
"AP";59,8482843785834;40,1517156214166;1,78618682191056;21,3460351062891;12,4195113345682;62,3886389697451;1,31428067389962;0,745347093587369;0,498327297405538;473,877193227928;505,15990297542;490,880896409197;494,551084371065;610,245589761328;512,53930205115
"BA";64,4411425295852;35,5588574704148;2,03457456838358;20,5354381783487;26,26845070635;48,3689462449937;2,14620275600944;0,646387545914635;0,533758120954066;485,401646994833;516,088583323409;505,265834419548;519,541969312106;640,676485625088;531,184693306827
"CE";55,612981884202;44,387018115798;2,76971600471779;26,4006502427367;7,11600560127575;61,6802943761955;1,54388475861064;0,489449016463687;0,43915720818313;486,832029555961;513,569578327843;501,774753334745;530,448618830203;652,45189537202;532,54614899119
"DF";60,3431140196633;39,6568859803367;2,26296234002538;39,965749759178;12,9967431690647;42,4550083332059;1,98620816195471;0,333328236571306;1,27675792650896;511,583415288333;545,400016925844;539,355491952178;559,011104653762;661,060365369341;561,045356694641
"ES";60,9073783359498;39,0926216640502;1,34222919937206;41,1569858712716;13,9874411302983;41,7770800627943;1,29199372056515;0,444270015698587;0,883984918143081;505,002490308939;539,025821928409;525,782792824637;559,836703239903;669,440044462971;557,368685207578
"GO";59,5564248492466;40,4435751507534;2,77004985101185;36,875626668173;10,9502760870486;45,86363700555;3,10968634816625;0,430724040050275;0,787189108221788;492,134423541404;522,76500747105;511,846317088089;536,509973741649;654,595724652751;540,683623521117
"MA";61,9774895422673;38,0225104577327;1,47010141743658;21,784435282434;13,2008185620994;61,7126606277649;1,4573113846339;0,374672725631226;0,416751829835219;474,985824021575;498,016122502491;484,983327571939;502,639952692546;628,841098627277;515,060291505859
"MG";62,386976606054;37,613023393946;1,79287948583031;45,9130805310849;12,1915159419073;38,2793005381221;1,5627168870912;0,260506615964181;0,91808442264141;510,836311486832;546,381558439257;533,927385653321;573,93719141465;682,276722035614;567,191414469576
"MS";61,0858715842714;38,9141284157286;1,64044491193519;46,6262336906654;7,13470447373722;39,5116711053421;2,18427589911152;2,90266991920865;0,871395168974456;493,488863436123;520,370771513353;511,768191398274;534,856720468001;634,209040532534;535,983739692796
"MT";61,6493491184049;38,3506508815951;1,9635910476415;34,9960425051784;12,2025563732507;48,1214529900136;2,15220356679746;0,56415351711827;0,976695965140492;487,89120803046;516,116518144463;504,994258243116;527,032660613967;633,880037238995;530,611737999411
"PA";61,9234926290957;38,0765073709043;1,98251908736015;20,4741857951545;11,995795105147;63,1889093430592;1,87739671603634;0,481193953242754;0,439651768727301;474,983469517892;504,667801879213;488,395847782251;499,709979831235;629,320399949222;516,79584985793
"PB";59,3182742788508;40,6817257211492;1,88012166062884;33,9158061953932;8,83201921772991;52,0506015226951;2,39156124682772;0,929890156725237;0,505708796645638;488,682351893462;516,962575196364;505,737616448422;526,220397873623;658,465477416303;536,501282873958
"PE";60,5089796671853;39,4910203328147;1,8623908858356;33,7535272554656;11,6690841003191;49,4074210817796;2,01745826630449;1,29011841029563;0,538524136449983;490,783613371538;518,270573310457;509,560660950625;536,350417593166;651,767351734979;538,205812615218
"PI";60,6907582938389;39,3092417061611;1,92890995260664;22,835308056872;13,2156398104265;59,1220379146919;2,46327014218009;0,434834123222749;0,455615034674054;481,324472483133;507,790198793551;493,850587580504;519,583541959487;651,759752447623;528,182725519413
"PR";60,8879225511317;39,1120774488683;1,84579377111093;67,5450144950664;4,64905981542062;23,626958163781;2,14566876778638;0,187504986834756;1,09094790597118;507,451263667324;539,417450974896;529,920155176277;559,4196433017;639,031694583002;553,086784169852
"RJ";61,8330742556499;38,1669257443501;1,92793654589661;46,6176411973375;17,3366814141656;32,6601299374228;1,19972896488501;0,257881940292559;0,956265533671538;504,767523662284;543,048848719964;533,882382874482;556,692542324873;665,616044176239;558,500899863206
"RN";58,9330940726187;41,0669059273813;1,53323717475497;40,0208974548263;9,28119569785006;47,0408522527229;1,8137627911731;0,310054628672671;0,612439097717882;495,619763741562;524,333904913956;514,726064621;534,383433512263;652,136352647272;542,03871983112
"RO";62,6200381619694;37,3799618380306;2,17085301385717;28,6465012981326;9,57802871531796;56,0543026056492;2,57749695017048;0,972817416872595;0,704303832745184;480,711431472081;509,002575857832;497,897668381555;514,771333570232;625,633874239351;522,601648129898
"RR";62,0346217690301;37,9653782309699;1,94451031539009;23,4645482570548;7,56461939767607;60,09011145364;1,17382025136353;5,7623903248755;0,783920996219017;492,292369965594;519,435718257646;509,22437037037;523,029872495446;623,420149404401;529,56781221346
"RS";62,5398076102301;37,4601923897699;1,65730982632391;78,2993532289307;6,77238254703043;12,7482845792705;0,367707409960931;0,154962408483535;1,04742466295852;502,84323292819;539,781813024941;533,71539403689;558,746657141739;655,235978634109;556,060589171298
