"";"SG_UF_PROVA";"RAZAO"
"1";"AC";507,979158284285
"2";"AL";523,733147929252
"3";"AM";578,795479538734
"4";"AP";524,593582194249
"5";"BA";524,703385882402
"6";"CE";640,832357404536
"7";"DF";242,744023952974
"8";"ES";346,441074866855
"9";"GO";367,845058445008
"10";"MA";633,327252840664
"11";"MG";344,272712481289
"12";"MS";326,905346546793
"13";"MT";286,160430650707
"14";"PA";604,287003386806
"15";"PB";564,319396393516
"16";"PE";533,097391897275
"17";"PI";608,107073809851
"18";"PR";276,793037061688
"19";"RJ";321,438856719044
"20";"RN";475,016570488664
"21";"RO";385,460983609498
"22";"RR";355,198819213238
"23";"RS";291,133672860035
"24";"SC";254,085939759195
"25";"SE";527,124111169301
"26";"SP";277,504477819805
"27";"TO";388,60848691928
