"";"SG_UF_PROVA";"RAZAO"
"1";"AC";591,677138430001
"2";"AL";604,707149927474
"3";"AM";682,524737719477
"4";"AP";658,498935752094
"5";"BA";599,26525763399
"6";"CE";689,890527761596
"7";"DF";289,512980749573
"8";"ES";411,499170144363
"9";"GO";447,066523535187
"10";"MA";709,129676847266
"11";"MG";421,99995208004
"12";"MS";401,890560230079
"13";"MT";366,762986573787
"14";"PA";674,997989112409
"15";"PB";609,987290757849
"16";"PE";597,034354337647
"17";"PI";681,298874900995
"18";"PR";337,226218836626
"19";"RJ";371,258024015777
"20";"RN";522,03263152506
"21";"RO";476,848766565568
"22";"RR";480,026006540153
"23";"RS";338,960779240745
"24";"SC";310,10894157953
"25";"SE";585,342365585312
"26";"SP";338,22988158251
"27";"TO";503,015360290964
