"";"SG_UF_PROVA";"COEFICIENTE"
"1";"AC";89,180944937614
"2";"AL";92,9556781755522
"3";"AM";157,550827607101
"4";"AP";174,152687842427
"5";"BA";127,054709760231
"6";"CE";156,848469015423
"7";"DF";NA
"8";"ES";91,1038535273359
"9";"GO";141,776598207539
"10";"MA";150,581357980458
"11";"MG";119,09843823673
"12";"MS";120,131327354057
"13";"MT";97,4136663296291
"14";"PA";101,045842863131
"15";"PB";101,817707376741
"16";"PE";93,5692823347082
"17";"PI";155,150987868748
"18";"PR";80,140428513294
"19";"RJ";86,2397066628536
"20";"RN";107,594693818537
"21";"RO";124,15640208547
"22";"RR";128,498261060012
"23";"RS";99,3408777329044
"24";"SC";71,9543266327911
"25";"SE";152,784611875348
"26";"SP";77,4499068856443
"27";"TO";142,849199951452
