"SG_UF_PROVA";"POR_FEM";"POR_MAS";"POR_SI";"POR_BR";"POR_PT";"POR_PD";"POR_AM";"POR_IN";"RENDA_MEDIA";"MEDIA_CN";"MEDIA_CH";"MEDIA_LC";"MEDIA_MT";"MEDIA_REDACAO";"MEDIA_GERAL"
"AC";58,7868209640398;41,2131790359602;1,81474751338944;15,4791507268554;11,2303940321347;67,2986801836266;3,33540550879878;0,841622035195103;0,407492496791329;464,781047823751;481,026408538099;500,983678730788;473,286037512764;544,582589627212;492,22399443319
"AL";60,2929274214781;39,7070725785219;2,29739349201861;22,1977357607434;11,4421117297735;59,311952101881;3,96680675956353;0,784000156019931;0,421254376209208;471,827326018627;487,815908254179;504,650667475728;492,788009643202;578,297411746834;505,855533231946
"AM";57,0619118132978;42,9380881867022;2,03700757529402;13,6912119246631;5,70961780867182;73,6125218753442;1,73901337608459;3,21062743994224;0,357633274735531;467,227436923199;490,54458424191;491,207714395837;482,113626190806;553,543522122812;495,213557038626
"AP";57,7216850390369;42,2783149609631;1,78998370818611;16,2135285529907;13,7634090091615;65,9247191248969;1,6228339292893;0,685525675475531;0,361708527022839;462,39307641399;480,953292934987;493,603992689442;467,635677189409;547,021536357865;489,304680096997
"BA";62,9532423032851;37,0467576967149;2,45437143029456;14,9288236752582;28,5817673350592;50,9020730816568;2,44275627609222;0,690208201639077;0,429590021820708;476,597920784936;493,860001009322;510,053614248002;493,998405826382;573,705265637884;508,558375103378
"CE";55,7654753131909;44,2345246868091;2,76129943502825;20,7455170719725;7,95289855072464;65,8093834438713;2,10943257184967;0,621468926553672;0,387887462124982;481,14726344293;500,640244379856;513,594578805797;513,695092376931;595,177651206943;518,71988595751
"DF";59,9014812027503;40,0985187972497;2,41849964081689;30,9624397085486;15,2678479800226;48,1100126569288;2,79991790100229;0,441282112680874;0,991938632602629;503,460974044361;528,063198014853;539,416087917573;534,480257146094;593,126482934842;538,299110245443
"ES";60,0914830075984;39,9085169924016;1,55464408573697;33,3289229955015;15,950931841379;47,0428684837259;1,60378785014932;0,518844743507353;0,701265066243595;505,154466759747;525,417399451922;532,357209864117;540,571976369495;602,731108077925;539,689992810471
"GO";59,6686391653914;40,3313608346086;2,96680232530594;30,0039323633504;12,0600372390071;50,484438738043;4,04559646371566;0,439192870577868;0,615103922419021;491,210990798298;510,455797078785;524,055811410361;517,807266204684;594,001836978811;526,112372208729
"MA";60,4993452860596;39,5006547139404;1,53396118721461;17,6130640612409;14,9375503626108;63,8652464410422;1,70309562181037;0,347082326081117;0,341410143593928;462,650457051271;479,043163579089;495,454654822166;475,577858904351;558,808667063605;493,224064799141
"MG";61,2911049858717;38,7088950141283;2,01780631346249;37,1976625532084;14,8931673166312;43,3280031045839;2,18117811337622;0,382182598737723;0,706097944537043;508,012444634393;533,182056058875;540,45112163445;550,573653883514;619,704633393925;549,093298758447
"MS";59,4029427071013;40,5970572928987;1,6534986043431;40,0411600510952;8,58210720537446;45,0264938259923;2,15971992241094;2,53702039078393;0,663561081766756;488,327476273841;506,930409873447;521,818614915853;513,262443939301;566,091146828079;517,798934898119
"MT";60,9926568167743;39,0073431832257;2,00831637618331;28,1046329882922;14,3914594945295;52,3164941460969;2,35434053889331;0,824756456004797;0,71371887159764;482,914081952141;502,114880412802;514,719187814902;505,776222073113;566,800115623645;512,885664921224
