"";"SG_UF_PROVA";"COEFICIENTE"
"1";"AC";78,3543795708707
"2";"AL";72,3144767823082
"3";"AM";140,056536993909
"4";"AP";141,304410162168
"5";"BA";88,2937273868651
"6";"CE";136,450842558861
"7";"DF";NA
"8";"ES";71,23465619847
"9";"GO";92,7770673131236
"10";"MA";109,368379700351
"11";"MG";79,2910044039528
"12";"MS";93,4082407805362
"13";"MT";64,7841131151601
"14";"PA";64,6042270861475
"15";"PB";81,8020135184274
"16";"PE";61,7344523692027
"17";"PI";117,323869160858
"18";"PR";59,9506963811893
"19";"RJ";61,0873322635214
"20";"RN";86,4943102788233
"21";"RO";91,3636703686821
"22";"RR";92,1689392137679
"23";"RS";75,2189532620907
"24";"SC";52,4209959576313
"25";"SE";113,061271516744
"26";"SP";54,2372322361578
"27";"TO";97,5690931217939
